6.400 45.580
4.258 47.896
4.416 46.356
4.279 44.718
5.278 44.702
4.533 46.003
4.527 45.496
4.681 47.121
3.475 45.721
3.086 41.273
3.881 46.439
4.094 48.611
3.872 45.127
6.080 46.603
4.399 45.084
1.866 44.456
3.931 44.469
5.689 46.279
3.531 44.571
2.236 44.045
4.635 41.993
3.350 44.450
3.927 43.016
2.907 42.857
3.809 43.639
2.738 44.701
4.336 44.815
4.287 44.988
3.341 44.253
3.322 44.200
2.118 44.472
3.770 45.380
3.454 42.605
3.527 43.737
4.521 45.957
3.632 46.985
3.665 45.786
3.029 44.002
3.869 44.553
4.079 43.094
3.001 46.163
6.406 46.397
4.522 46.679
4.259 43.171
4.776 44.030
4.922 44.953
4.784 45.248
5.475 44.406
4.403 45.037
3.962 48.044
4.075 42.926
4.932 42.728
3.150 44.687
6.311 47.135
5.807 47.255
5.082 43.167
4.508 44.359
4.411 46.353
5.108 45.529
3.310 45.891
5.261 44.957
3.482 44.098
5.274 43.773
4.717 45.784
4.006 43.760
3.643 44.064
4.195 43.897
4.156 45.862
3.326 45.916
3.514 42.803
4.617 45.012
6.132 47.949
4.400 43.366
2.872 43.351
5.371 44.322
2.897 44.259
3.398 45.091
3.752 46.914
2.987 43.574
5.304 43.659
4.612 46.273
3.998 43.030
2.161 44.154
4.936 46.523
4.786 46.155
3.952 46.398
5.973 48.348
4.976 49.132
5.755 49.369
4.668 49.983
3.805 49.874
5.038 51.404
5.415 48.466
6.849 48.459
5.485 48.134
5.017 50.344
6.156 50.777
7.116 50.779
8.329 52.514
5.593 49.575
7.164 51.286
5.034 51.430
5.379 50.218
6.078 50.418
6.778 51.141
6.063 51.238
5.126 48.843
6.302 49.847
7.250 53.115
5.172 48.806
6.133 49.200
5.176 47.864
6.280 50.136
5.465 49.261
4.785 48.214
6.034 49.113
5.985 48.147
5.147 52.757
6.799 50.354
5.311 49.260
5.679 49.919
4.446 50.147
7.543 51.214
4.331 49.383
5.823 50.911
5.818 50.304
6.965 50.712
4.449 49.475
5.602 47.619
4.907 48.541
5.618 49.199
5.054 47.278
6.371 50.689
5.903 49.540
3.946 51.492
7.433 52.552
5.307 49.238
6.185 50.717
6.544 46.509
6.776 49.501
6.870 48.527
6.664 50.186
6.402 48.153
7.463 50.503
5.247 49.302
6.438 53.523
6.858 49.426
6.535 49.935
6.077 49.326
6.621 47.642
5.373 50.070
6.000 51.072
4.134 48.628
6.263 51.007
6.811 49.449
4.758 48.702
5.859 49.440
5.740 50.040
5.877 49.952
4.922 49.289
5.423 50.680
5.085 48.518
7.767 49.015
6.375 48.711
5.447 51.431
5.466 51.465
4.987 46.144
5.373 47.436
6.976 48.496
6.234 51.621
4.610 49.470
5.519 49.490
5.922 49.446
6.617 50.675
4.383 49.441
6.209 52.108
5.200 49.282
4.559 47.633
6.238 49.130
6.400 50.957
6.809 51.163
6.123 49.924
5.567 49.873
4.920 50.017
5.342 50.723
6.273 51.240
6.434 49.900
5.074 51.418
6.606 49.416
5.353 47.537
3.876 47.253
4.659 50.618
4.229 49.149
7.072 52.206
6.139 50.855
4.469 50.066
5.208 49.859
7.426 50.789
7.535 51.722
4.742 49.559
6.729 50.931
5.287 47.451
6.512 51.098
5.230 50.021
5.836 47.742
5.632 49.655
7.548 52.145
6.328 50.461
8.279 51.500
7.007 51.077
4.911 47.083
6.003 49.789
4.282 52.228
5.898 49.127
4.569 49.842
6.722 51.098
5.707 48.560
6.471 51.126
6.520 51.072
4.821 49.853
6.111 49.816
6.403 51.241
5.467 50.957
5.464 48.963
6.075 48.273
6.493 50.541
7.855 49.776
3.922 50.107
6.072 50.291
4.901 49.623
5.899 49.335
7.699 48.488
4.801 48.952
4.906 46.773
4.410 47.416
5.259 49.863
7.807 52.048
6.024 52.111
7.050 51.380
7.285 50.708
5.134 48.897
4.306 52.089
7.315 51.889
6.155 49.862
5.127 48.706
7.693 51.068
7.472 53.726
5.203 49.271
5.357 48.629
6.189 50.537
6.431 51.585
5.324 49.721
3.782 48.293
6.400 47.938
7.640 50.760
3.623 48.842
5.769 49.034
7.146 50.327
7.595 49.796
5.122 50.006
4.313 47.995
5.407 50.635
7.694 50.804
5.364 46.453
5.057 46.789
6.750 51.659
4.791 48.443
5.701 49.703
5.794 49.759
5.127 50.705
7.111 49.150
5.416 49.623
4.508 52.352
6.152 51.837
6.172 50.192
6.316 51.385
6.682 48.627
4.673 46.748
4.607 48.409
7.107 52.776
4.645 50.875
5.747 48.932
6.709 50.277
6.438 49.832
4.753 51.246
6.653 49.789
6.036 50.934
4.622 49.275
6.858 49.434
4.347 47.546
5.998 48.168
5.298 49.400
6.243 49.550
3.271 50.499
6.670 50.596
4.983 50.068
6.512 50.354
5.554 49.429
5.324 48.784
5.462 47.730
